param1,param2,param3,lik
0.003,0.9,0.15000000000000002,-146.51806444085264
0.003,0.9,0.2,-140.38297177015153
0.003,0.9,0.25,-138.3446384192505
0.003,0.9,0.30000000000000004,-138.96168076684285
0.003,0.9,0.35,-139.08666388564876
0.003,0.9,0.4,-137.7393511957635
0.003,0.9,0.45000000000000007,-138.9283521086474
0.003,0.9,0.5,-138.98177988001714
0.003,0.9,0.55,-138.49086296602684
0.003,0.9,0.6,-137.95101741840023
0.003,0.95,0.1,-148.47660609031476
0.003,0.95,0.15000000000000002,-143.01941558203947
0.003,0.95,0.2,-140.0960220081168
0.003,0.95,0.25,-139.71603315867372
0.003,0.95,0.30000000000000004,-139.03667028712363
0.003,0.95,0.35,-139.3628030485193
0.003,0.95,0.4,-138.8288520216028
0.003,0.95,0.45000000000000007,-138.1753914858237
0.003,0.95,0.5,-138.76812311231618
0.003,0.95,0.55,-139.81831908681676
0.003,0.95,0.6,-138.84053235589022
0.003,1,0.1,-148.85207761854912
0.003,1,0.15000000000000002,-143.0145816699345
0.003,1,0.2,-137.90625399020098
0.003,1,0.25,-138.62586642756253
0.003,1,0.30000000000000004,-138.47308523980718
0.003,1,0.35,-138.77403793232628
0.003,1,0.4,-139.2661056465892
0.003,1,0.45000000000000007,-138.52958871006956
0.003,1,0.5,-138.7559696527453
0.003,1,0.55,-139.02816935858192
0.003,1,0.6,-138.42180495472854
0.004,0.5,0.1,-156.09300210043097
0.004,0.5,0.15000000000000002,-142.0442556431176
0.004,0.5,0.2,-140.33617146054002
0.004,0.5,0.25,-142.32166478003347
0.004,0.5,0.30000000000000004,-139.06976210438768
0.004,0.5,0.35,-137.9293700312595
0.004,0.5,0.4,-138.1806967300525
0.004,0.5,0.45000000000000007,-136.07733273141378
0.004,0.5,0.5,-137.62253387519087
0.004,0.5,0.55,-137.06197106815847
0.004,0.5,0.6,-136.86837074027727
0.004,0.55,0.1,-150.78473534132542
0.004,0.55,0.15000000000000002,-156.788922476496
0.004,0.55,0.2,-138.34653777950348
0.004,0.55,0.25,-139.1559813794068
0.004,0.55,0.30000000000000004,-137.61805635454874
0.004,0.55,0.35,-137.32696622024832
0.004,0.55,0.4,-137.77216450422077
0.004,0.55,0.45000000000000007,-135.97805298824522
0.004,0.55,0.5,-136.83561478254506
0.004,0.55,0.55,-137.71347001063197
0.004,0.55,0.6,-136.90438139374106
0.004,0.6,0.1,-162.7003259618844
0.004,0.6,0.15000000000000002,-141.40186544012062
0.004,0.6,0.2,-138.06794373175512
0.004,0.6,0.25,-137.65667329480658
0.004,0.6,0.30000000000000004,-136.78259795816018
0.004,0.6,0.35,-136.7776132081786
0.004,0.6,0.4,-135.86638807387192
0.004,0.6,0.45000000000000007,-136.3793140360596
0.004,0.6,0.5,-136.11252486002996
0.004,0.6,0.55,-135.79334065290226
0.004,0.6,0.6,-136.6523532330287
0.004,0.65,0.1,-147.7182678628635
0.004,0.65,0.15000000000000002,-144.80549896206725
0.004,0.65,0.2,-137.8324527415383
0.004,0.65,0.25,-137.75373058619425
0.004,0.65,0.30000000000000004,-137.9170436308462
0.004,0.65,0.35,-138.56067160492756
0.004,0.65,0.4,-136.72527054157928
0.004,0.65,0.45000000000000007,-137.14083503153745
0.004,0.65,0.5,-135.55849398238286
0.004,0.65,0.55,-135.95260565018611
0.004,0.65,0.6,-136.75095166076125
0.004,0.7,0.1,-150.01394482307325
0.004,0.7,0.15000000000000002,-143.29584582186897
0.004,0.7,0.2,-141.306810079974
0.004,0.7,0.25,-138.20461707118608
0.004,0.7,0.30000000000000004,-136.69436869300313
0.004,0.7,0.35,-135.97417310655823
0.004,0.7,0.4,-136.77567546869568
0.004,0.7,0.45000000000000007,-135.27880878901777
0.004,0.7,0.5,-136.2108814216437
0.004,0.7,0.55,-136.64241549269883
0.004,0.7,0.6,-136.33929327133467
0.004,0.75,0.1,-142.7790258651914
0.004,0.75,0.15000000000000002,-138.7126505454213
0.004,0.75,0.2,-137.6428168666721
0.004,0.75,0.25,-136.7073787260723
0.004,0.75,0.30000000000000004,-136.18403342157944
0.004,0.75,0.35,-136.164324573802
0.004,0.75,0.4,-134.94586817355162
0.004,0.75,0.45000000000000007,-137.32057626024982
0.004,0.75,0.5,-137.0530704052906
0.004,0.75,0.55,-135.0360785775265
0.004,0.75,0.6,-135.67533700143258
0.004,0.8,0.1,-153.3293942453455
0.004,0.8,0.15000000000000002,-139.45057897336932
0.004,0.8,0.2,-139.0916005885441
0.004,0.8,0.25,-136.42382444608933
0.004,0.8,0.30000000000000004,-136.70616345664888
0.004,0.8,0.35,-135.40366732509932
0.004,0.8,0.4,-136.32056158050818
0.004,0.8,0.45000000000000007,-135.23529498854452
0.004,0.8,0.5,-136.3575483665877
0.004,0.8,0.55,-135.87560313826611
0.004,0.8,0.6,-137.20394162793474
0.004,0.8500000000000001,0.1,-147.51241400409225
0.004,0.8500000000000001,0.15000000000000002,-140.83857944118284
0.004,0.8500000000000001,0.2,-137.52659927673454
0.004,0.8500000000000001,0.25,-136.1571891281564
0.004,0.8500000000000001,0.30000000000000004,-135.62733322388863
0.004,0.8500000000000001,0.35,-135.67725473548654
0.004,0.8500000000000001,0.4,-135.91950979040575
0.004,0.8500000000000001,0.45000000000000007,-135.36231775257278
0.004,0.8500000000000001,0.5,-135.83737858756672
0.004,0.8500000000000001,0.55,-136.3656496570128
0.004,0.8500000000000001,0.6,-136.35693132699583
0.004,0.9,0.1,-149.80428835264354
0.004,0.9,0.15000000000000002,-139.236793028568
0.004,0.9,0.2,-136.7791777537078
0.004,0.9,0.25,-137.31136528879404
0.004,0.9,0.30000000000000004,-135.0177330320376
0.004,0.9,0.35,-135.23545733584064
0.004,0.9,0.4,-134.57835367662847
0.004,0.9,0.45000000000000007,-135.1311050301141
0.004,0.9,0.5,-135.33804070322913
0.004,0.9,0.55,-134.89213626921895
0.004,0.9,0.6,-137.29794049147677
0.004,0.95,0.1,-149.8236993620469
0.004,0.95,0.15000000000000002,-138.58910950798958
0.004,0.95,0.2,-135.7298379152141
0.004,0.95,0.25,-134.59732712371306
0.004,0.95,0.30000000000000004,-136.01781091937136
0.004,0.95,0.35,-135.4708245245045
0.004,0.95,0.4,-134.3138200243203
0.004,0.95,0.45000000000000007,-134.80249751661967
0.004,0.95,0.5,-135.1330102596744
0.004,0.95,0.55,-135.7270754354646
0.004,0.95,0.6,-138.00322980612862
0.004,1,0.1,-148.2546120838918
0.004,1,0.15000000000000002,-139.26386833917024
0.004,1,0.2,-136.70202005098173
0.004,1,0.25,-135.63297700600617
0.004,1,0.30000000000000004,-135.44846003288228
0.004,1,0.35,-134.48179871731662
0.004,1,0.4,-135.1094969010423
0.004,1,0.45000000000000007,-134.93652853357503
0.004,1,0.5,-135.52204458395875
0.004,1,0.55,-136.39160693925191
0.004,1,0.6,-135.976144977133
0.005,0.5,0.1,-163.84593238426953
0.005,0.5,0.15000000000000002,-141.04056622606117
0.005,0.5,0.2,-138.58390658547052
0.005,0.5,0.25,-138.75079942044147
0.005,0.5,0.30000000000000004,-136.65139798163216
0.005,0.5,0.35,-136.16732754314478
0.005,0.5,0.4,-136.0488068425267
0.005,0.5,0.45000000000000007,-135.1138223859964
0.005,0.5,0.5,-136.08949877872686
0.005,0.5,0.55,-137.45714652476312
0.005,0.5,0.6,-135.24044150760972
0.005,0.55,0.1,-148.56337247659087
0.005,0.55,0.15000000000000002,-139.36125999756467
0.005,0.55,0.2,-138.43062168701653
0.005,0.55,0.25,-137.35053725882926
0.005,0.55,0.30000000000000004,-137.6937964754556
0.005,0.55,0.35,-135.86798660611277
0.005,0.55,0.4,-137.06746804667512
0.005,0.55,0.45000000000000007,-136.46214400636507
0.005,0.55,0.5,-135.0799566571432
0.005,0.55,0.55,-135.77010693761395
0.005,0.55,0.6,-136.09376138653653
0.005,0.6,0.1,-147.80409055898235
0.005,0.6,0.15000000000000002,-141.42022144426107
0.005,0.6,0.2,-137.46776778277103
0.005,0.6,0.25,-137.4379212638824
0.005,0.6,0.30000000000000004,-135.9910276134741
0.005,0.6,0.35,-135.7410280197115
0.005,0.6,0.4,-136.97142343954636
0.005,0.6,0.45000000000000007,-134.48016297877382
0.005,0.6,0.5,-135.73661158964643
0.005,0.6,0.55,-135.78161529743699
0.005,0.6,0.6,-135.53827772154068
0.005,0.65,0.1,-151.48322990860777
0.005,0.65,0.15000000000000002,-141.60582225378215
0.005,0.65,0.2,-138.27608860423055
0.005,0.65,0.25,-136.32359270440662
0.005,0.65,0.30000000000000004,-135.8689810510823
0.005,0.65,0.35,-135.29245161308847
0.005,0.65,0.4,-136.53628639916576
0.005,0.65,0.45000000000000007,-134.13292276065346
0.005,0.65,0.5,-136.9386110771502
0.005,0.65,0.55,-135.93961198539154
0.005,0.65,0.6,-135.8851994940336
