param1,param2,lik
0.022,0.575,-292.23762749950487
0.022,0.6,-288.0721382598176
0.022,0.625,-289.41907420658583
0.022,0.65,-290.57691054510974
0.022,0.675,-289.12327884629997
0.022,0.7,-286.977656949666
0.022,0.725,-287.8973667641478
0.022,0.75,-286.64728700655706
0.022,0.775,-287.63408201988943
0.022,0.8,-285.81524656215885
0.022,0.825,-286.54299977585544
0.022,0.8500000000000001,-286.6541825106372
0.022,0.875,-286.00792833948617
0.022,0.9,-286.7774282009967
0.022,0.925,-285.7998374504767
0.022,0.95,-Inf
0.022,0.9750000000000001,-284.18407558841113
0.022,1,-284.8072673984237
0.024,0.5,-293.2959340488116
0.024,0.525,-292.6468606951723
0.024,0.55,-292.3826083710837
0.024,0.575,-292.3910253594192
0.024,0.6,-290.30608980548914
0.024,0.625,-291.5473713444634
0.024,0.65,-289.88797114181943
0.024,0.675,-289.3235976018674
0.024,0.7,-289.5068540590702
0.024,0.725,-287.8241452087773
0.024,0.75,-288.26915789509667
0.024,0.775,-287.4836273901684
0.024,0.8,-288.4597262283065
0.024,0.825,-288.0035169851102
0.024,0.8500000000000001,-286.831683707943
0.024,0.875,-286.2429978151956
0.024,0.9,-286.75895035811885
0.024,0.925,-284.1907090515946
0.024,0.95,-285.5946314029212
0.024,0.9750000000000001,-286.4830566963257
0.024,1,-286.52632703305517
0.026000000000000002,0.5,-294.5606415680966
0.026000000000000002,0.525,-293.7886001049329
0.026000000000000002,0.55,-292.6216619219496
0.026000000000000002,0.575,-291.9729787239051
0.026000000000000002,0.6,-291.55059186032366
0.026000000000000002,0.625,-289.6217232527516
0.026000000000000002,0.65,-290.3736659580908
0.026000000000000002,0.675,-290.17308731677144
0.026000000000000002,0.7,-289.9042711221191
0.026000000000000002,0.725,-288.17361873496804
0.026000000000000002,0.75,-288.85107778546126
0.026000000000000002,0.775,-288.8139584782635
0.026000000000000002,0.8,-288.4046435647754
0.026000000000000002,0.825,-288.08329841085043
