param1,param2,param3,lik
0.004,0.55,0.4,-136.9554048403976
0.004,0.55,0.45000000000000007,-136.50692507611234
0.004,0.55,0.5,-136.10753929729657
0.004,0.55,0.55,-137.82294799504467
0.004,0.55,0.6,-136.8761862006566
0.004,0.6,0.1,-148.3544383098731
0.004,0.6,0.15000000000000002,-138.77893234273034
0.004,0.6,0.2,-141.0317017816824
0.004,0.6,0.25,-138.37771429662047
0.004,0.6,0.30000000000000004,-137.40214824680953
0.004,0.6,0.35,-138.1012666162407
0.004,0.6,0.4,-137.24961405490814
0.004,0.6,0.45000000000000007,-137.19798290102443
0.004,0.6,0.5,-136.09406485002205
0.004,0.6,0.55,-137.20975794642692
0.004,0.6,0.6,-136.34451299016786
0.004,0.65,0.1,-155.88530737197033
0.004,0.65,0.15000000000000002,-147.37185400327883
0.004,0.65,0.2,-140.27042988073782
0.004,0.65,0.25,-139.02280793097748
0.004,0.65,0.30000000000000004,-136.97258010567418
0.004,0.65,0.35,-136.07225047651866
0.004,0.65,0.4,-136.2471956579475
0.004,0.65,0.45000000000000007,-135.75608701482753
0.004,0.65,0.5,-135.79463862779863
0.004,0.65,0.55,-137.4659042331715
0.004,0.65,0.6,-137.49461309352534
0.004,0.7,0.1,-152.1555117902579
0.004,0.7,0.15000000000000002,-139.71643427011952
0.004,0.7,0.2,-140.56253594488714
0.004,0.7,0.25,-137.54934809102207
0.004,0.7,0.30000000000000004,-137.3598914413937
0.004,0.7,0.35,-136.16827764929855
0.004,0.7,0.4,-136.75060111592217
0.004,0.7,0.45000000000000007,-137.4441570354236
0.004,0.7,0.5,-137.5590849763783
0.004,0.7,0.55,-136.04712651547788
0.004,0.7,0.6,-136.56652891789412
0.004,0.75,0.1,-165.09164944443177
0.004,0.75,0.15000000000000002,-147.90679547518567
0.004,0.75,0.2,-140.8790877896355
0.004,0.75,0.25,-136.7970367085628
0.004,0.75,0.30000000000000004,-136.60187358508375
0.004,0.75,0.35,-136.50541152024675
0.004,0.75,0.4,-137.7801120900753
0.004,0.75,0.45000000000000007,-136.37043247732703
0.004,0.75,0.5,-135.9596657810402
0.004,0.75,0.55,-136.12995644218825
0.004,0.75,0.6,-137.0450996627677
0.004,0.8,0.1,-161.02272490282752
0.004,0.8,0.15000000000000002,-144.23688320522263
0.004,0.8,0.2,-138.50053796563657
0.004,0.8,0.25,-136.46601342053197
0.004,0.8,0.30000000000000004,-137.5709611992554
0.004,0.8,0.35,-135.53049944401835
0.004,0.8,0.4,-136.220802213203
0.004,0.8,0.45000000000000007,-134.90600841435412
0.004,0.8,0.5,-135.81975522591284
0.004,0.8,0.55,-136.65626662441116
0.004,0.8,0.6,-135.67229941982652
0.004,0.8500000000000001,0.1,-154.78589354834776
0.004,0.8500000000000001,0.15000000000000002,-138.94863735038047
0.004,0.8500000000000001,0.2,-137.63115963015173
0.004,0.8500000000000001,0.25,-137.76008012756546
0.004,0.8500000000000001,0.30000000000000004,-138.06400739918433
0.004,0.8500000000000001,0.35,-135.28277552825745
0.004,0.8500000000000001,0.4,-134.51643195713297
0.004,0.8500000000000001,0.45000000000000007,-135.39197001517806
0.004,0.8500000000000001,0.5,-137.25584231834432
0.004,0.8500000000000001,0.55,-136.3021661503712
0.004,0.8500000000000001,0.6,-136.15281684566958
0.004,0.9,0.1,-165.3896864635728
0.004,0.9,0.15000000000000002,-136.63625015554072
0.004,0.9,0.2,-137.14826643170903
0.004,0.9,0.25,-136.03477221013026
0.004,0.9,0.30000000000000004,-135.58120684748206
0.004,0.9,0.35,-135.59779659665088
0.004,0.9,0.4,-134.18098726684593
0.004,0.9,0.45000000000000007,-135.46699863428648
0.004,0.9,0.5,-134.94060434560873
0.004,0.9,0.55,-136.36107999588023
0.004,0.9,0.6,-136.61019797385245
0.004,0.95,0.1,-145.1188423029489
0.004,0.95,0.15000000000000002,-142.68566383301197
0.004,0.95,0.2,-136.53559612554454
0.004,0.95,0.25,-135.92243049411223
0.004,0.95,0.30000000000000004,-135.73012630523363
0.004,0.95,0.35,-134.98086751125834
0.004,0.95,0.4,-134.9302520445758
0.004,0.95,0.45000000000000007,-135.27165887125892
0.004,0.95,0.5,-136.2139680201202
0.004,0.95,0.55,-135.8834697595214
0.004,0.95,0.6,-136.3472537647578
0.004,1,0.1,-144.87262576190477
0.004,1,0.15000000000000002,-137.60394095756868
0.004,1,0.2,-135.94583477894417
0.004,1,0.25,-136.94399390410206
0.004,1,0.30000000000000004,-136.217375346121
0.004,1,0.35,-136.13632119646962
0.004,1,0.4,-135.97578078665293
0.004,1,0.45000000000000007,-134.61047387077508
0.004,1,0.5,-135.33096336063767
0.004,1,0.55,-135.97296743401972
0.004,1,0.6,-136.3407161219272
0.005,0.5,0.1,-157.1652729039099
0.005,0.5,0.15000000000000002,-140.24780137036316
0.005,0.5,0.2,-140.86699486974396
0.005,0.5,0.25,-137.61366758078032
0.005,0.5,0.30000000000000004,-137.2058635077861
0.005,0.5,0.35,-136.85660804968387
0.005,0.5,0.4,-135.87431256296173
0.005,0.5,0.45000000000000007,-135.773918072433
0.005,0.5,0.5,-136.07195521055962
0.005,0.5,0.55,-135.92289025373424
0.005,0.5,0.6,-135.40246234165153
0.005,0.55,0.1,-172.2920312689381
0.005,0.55,0.15000000000000002,-141.57306538922825
0.005,0.55,0.2,-138.42531741352968
0.005,0.55,0.25,-137.86624536328105
0.005,0.55,0.30000000000000004,-136.41054411112378
0.005,0.55,0.35,-135.4725170199397
0.005,0.55,0.4,-136.23654865758328
0.005,0.55,0.45000000000000007,-135.91916222778053
0.005,0.55,0.5,-137.60787123732064
0.005,0.55,0.55,-134.8712262283749
0.005,0.55,0.6,-136.30074739822368
0.005,0.6,0.1,-150.16668994152064
0.005,0.6,0.15000000000000002,-143.29279126329732
0.005,0.6,0.2,-139.4928008470239
0.005,0.6,0.25,-137.8179532752065
0.005,0.6,0.30000000000000004,-136.04572224091663
0.005,0.6,0.35,-135.74145664110705
0.005,0.6,0.4,-134.36434937453885
0.005,0.6,0.45000000000000007,-135.91638263628266
0.005,0.6,0.5,-135.7490981775506
0.005,0.6,0.55,-136.0757496947142
0.005,0.6,0.6,-135.16587420847924
0.005,0.65,0.1,-146.99874719396945
0.005,0.65,0.15000000000000002,-137.8361285972801
0.005,0.65,0.2,-137.71914889294902
0.005,0.65,0.25,-135.7470103232249
0.005,0.65,0.30000000000000004,-135.777857321547
0.005,0.65,0.35,-135.45146355365978
0.005,0.65,0.4,-136.69938730965742
0.005,0.65,0.45000000000000007,-135.5587088273188
0.005,0.65,0.5,-135.67432974386122
0.005,0.65,0.55,-136.29201030826954
0.005,0.65,0.6,-135.64748670562733
0.005,0.7,0.1,-151.52298533613083
0.005,0.7,0.15000000000000002,-137.7267465485299
0.005,0.7,0.2,-136.63058907717044
0.005,0.7,0.25,-135.66404692565033
0.005,0.7,0.30000000000000004,-136.66251956131515
0.005,0.7,0.35,-134.95693246169907
0.005,0.7,0.4,-134.93017136954654
0.005,0.7,0.45000000000000007,-134.64324731285973
0.005,0.7,0.5,-134.74023505004533
0.005,0.7,0.55,-134.21228221083294
0.005,0.7,0.6,-135.16228109664667
0.005,0.75,0.1,-141.33689427716655
0.005,0.75,0.15000000000000002,-138.6053850312406
0.005,0.75,0.2,-136.29205467861607
0.005,0.75,0.25,-135.20057212903492
0.005,0.75,0.30000000000000004,-135.53583808420115
0.005,0.75,0.35,-134.46700475852282
0.005,0.75,0.4,-135.53643001414065
0.005,0.75,0.45000000000000007,-135.1168336716487
0.005,0.75,0.5,-134.9530123452339
0.005,0.75,0.55,-134.67619260817804
0.005,0.75,0.6,-135.03526950515845
0.005,0.8,0.1,-149.93143523090077
0.005,0.8,0.15000000000000002,-138.14211465897034
0.005,0.8,0.2,-135.68022573124483
0.005,0.8,0.25,-137.08464355508335
0.005,0.8,0.30000000000000004,-133.80407194217457
0.005,0.8,0.35,-134.97222816364462
0.005,0.8,0.4,-134.1018600437281
0.005,0.8,0.45000000000000007,-134.90851661508935
0.005,0.8,0.5,-134.37187212489204
0.005,0.8,0.55,-134.53311134981863
0.005,0.8,0.6,-135.40147814465007
0.005,0.8500000000000001,0.1,-143.92904121908293
0.005,0.8500000000000001,0.15000000000000002,-137.49693051172892
0.005,0.8500000000000001,0.2,-138.8588614217922
0.005,0.8500000000000001,0.25,-137.12566351727202
0.005,0.8500000000000001,0.30000000000000004,-135.18664974608896
0.005,0.8500000000000001,0.35,-134.24487371009724
0.005,0.8500000000000001,0.4,-134.75164452365595
0.005,0.8500000000000001,0.45000000000000007,-133.28712223729372
0.005,0.8500000000000001,0.5,-133.90280057870598
0.005,0.8500000000000001,0.55,-134.82565028042393
0.005,0.8500000000000001,0.6,-135.8775083224237
0.005,0.9,0.1,-140.237605147433
0.005,0.9,0.15000000000000002,-137.90609771445207
0.005,0.9,0.2,-136.21216251420947
0.005,0.9,0.25,-133.51149407256986
0.005,0.9,0.30000000000000004,-133.62107412706803
0.005,0.9,0.35,-134.29544996815252
0.005,0.9,0.4,-134.90724935467335
0.005,0.9,0.45000000000000007,-134.5031155451075
0.005,0.9,0.5,-134.5979341297974
0.005,0.9,0.55,-134.5211147339832
0.005,0.9,0.6,-135.29117061057923
0.005,0.95,0.1,-143.8877983580083
0.005,0.95,0.15000000000000002,-138.26759493300216
0.005,0.95,0.2,-135.97001904320678
0.005,0.95,0.25,-134.5263687069841
0.005,0.95,0.30000000000000004,-133.10343981617376
0.005,0.95,0.35,-134.64072908525338
0.005,0.95,0.4,-133.53267023244217
0.005,0.95,0.45000000000000007,-134.26413069781375
0.005,0.95,0.5,-134.26776700494497
0.005,0.95,0.55,-133.91585039069435
0.005,0.95,0.6,-133.92575724070196
0.005,1,0.1,-142.2011937324188
0.005,1,0.15000000000000002,-136.29148343422366
0.005,1,0.2,-134.24911238391866
0.005,1,0.25,-133.98893523991438
0.005,1,0.30000000000000004,-134.67560705101482
0.005,1,0.35,-134.12035111273832
0.005,1,0.4,-134.09135420627592
0.005,1,0.45000000000000007,-133.42916988076632
0.005,1,0.5,-135.49487978109562
0.005,1,0.55,-134.3876422707218
0.005,1,0.6,-135.2619982134383
0.006,0.5,0.1,-152.97807660165785
0.006,0.5,0.15000000000000002,-139.91796136507253
0.006,0.5,0.2,-139.1184976015913
0.006,0.5,0.25,-136.37051791373074
0.006,0.5,0.30000000000000004,-136.89526524709117
0.006,0.5,0.35,-136.81717991091648
0.006,0.5,0.4,-134.83280602743702
0.006,0.5,0.45000000000000007,-135.69782134351317
0.006,0.5,0.5,-135.41354934659392
0.006,0.5,0.55,-135.59112939637504
0.006,0.5,0.6,-137.57168067713906
0.006,0.55,0.1,-142.6027420019184
